Date,AIR.PA,ASML.AS,BNP.PA,DHL.DE,ENEL.MI,MC.PA,OR.PA,SAN.MC,SAP.DE,SHELL.AS
2025-02-06,164.20880126953125,707.4520263671875,62.02338790893555,33.694217681884766,6.5069804191589355,680.578369140625,346.81549072265625,5.462406158447266,271.1987609863281,30.156343460083008
2025-02-07,163.25035095214844,695.2869262695312,63.10465621948242,33.11377716064453,6.50886869430542,668.17578125,334.5379638671875,5.364377975463867,268.572509765625,30.217761993408203
2025-02-10,163.75892639160156,710.669921875,63.1410026550293,33.561004638671875,6.534360408782959,669.25,336.35504150390625,5.322643756866455,268.572509765625,30.22248649597168
2025-02-11,163.54376220703125,717.211669921875,63.7225227355957,33.751312255859375,6.486209392547607,669.1524047851562,335.2746276855469,5.4895830154418945,275.856689453125,30.817773818969727
2025-02-12,166.14527893066406,712.0576171875,64.4585189819336,33.6847038269043,6.425785064697266,671.6914672851562,328.0063171386719,5.597316741943359,276.6495056152344,30.761077880859375
2025-02-13,166.24307250976562,731.3854370117188,63.69526290893555,35.17863082885742,6.523974895477295,690.6370849609375,336.1585998535156,5.552670478820801,277.7891845703125,30.534645080566406
2025-02-14,164.815185546875,725.7357177734375,63.5589714050293,34.84558868408203,6.4918742179870605,696.30126953125,337.239013671875,5.621580600738525,274.46923828125,30.783050537109375
2025-02-17,166.75164794921875,721.37451171875,63.4499397277832,35.07395935058594,6.452220916748047,685.070556640625,336.8952331542969,5.63905143737793,277.59100341796875,31.002792358398438
2025-02-18,169.19668579101562,709.876953125,64.59481048583984,35.16911315917969,6.43617057800293,688.5863037109375,335.7165832519531,5.785608768463135,275.856689453125,31.021902084350586
2025-02-19,165.20639038085938,711.16552734375,63.87699890136719,34.60770034790039,6.443723201751709,674.7189331054688,328.0063171386719,5.634198188781738,273.8250427246094,31.13176918029785
2025-02-20,161.4508056640625,703.6326293945312,64.39491271972656,34.78849792480469,6.415399551391602,679.2111206054688,331.8860168457031,5.6477861404418945,272.4871520996094,31.13654899597168
